qid1,qid2,pred1,pred2,gt1,gt2,q1score,q2score
51,52,img1,img1,img1,img2,"tensor(0.6848, device='cuda:0')","tensor(0.6159, device='cuda:0')"
53,54,img2,img1,img1,img2,"tensor(0.4676, device='cuda:0')","tensor(0.6903, device='cuda:0')"
55,56,img1,img1,img1,img2,"tensor(0.9457, device='cuda:0')","tensor(0.8798, device='cuda:0')"
57,58,img1,img1,img1,img2,"tensor(0.8173, device='cuda:0')","tensor(0.6824, device='cuda:0')"
59,60,img1,img2,img1,img2,"tensor(0.9123, device='cuda:0')","tensor(0.1072, device='cuda:0')"
61,62,img2,img2,img1,img2,"tensor(0.4319, device='cuda:0')","tensor(0.1955, device='cuda:0')"
63,64,img1,img1,img1,img2,"tensor(0.9962, device='cuda:0')","tensor(0.7322, device='cuda:0')"
65,66,img1,img1,img1,img2,"tensor(1.0000, device='cuda:0')","tensor(0.6464, device='cuda:0')"
67,68,img1,img2,img1,img2,"tensor(0.7356, device='cuda:0')","tensor(0.0494, device='cuda:0')"
69,70,img1,img2,img1,img2,"tensor(0.8551, device='cuda:0')","tensor(0.0136, device='cuda:0')"
71,72,img1,img2,img1,img2,"tensor(0.9887, device='cuda:0')","tensor(0.1300, device='cuda:0')"
73,74,img1,img2,img1,img2,"tensor(0.9885, device='cuda:0')","tensor(0.2131, device='cuda:0')"
75,76,img1,img2,img1,img2,"tensor(0.8539, device='cuda:0')","tensor(0.0155, device='cuda:0')"
77,78,img1,img1,img1,img2,"tensor(0.5640, device='cuda:0')","tensor(0.7209, device='cuda:0')"
79,80,img1,img1,img1,img2,"tensor(0.9708, device='cuda:0')","tensor(0.9205, device='cuda:0')"
81,82,img1,img2,img1,img2,"tensor(0.5932, device='cuda:0')","tensor(0.4662, device='cuda:0')"
83,84,img1,img1,img1,img2,"tensor(0.9838, device='cuda:0')","tensor(0.9017, device='cuda:0')"
85,86,img1,img2,img1,img2,"tensor(0.5891, device='cuda:0')","tensor(0.4322, device='cuda:0')"
87,88,img1,img1,img1,img2,"tensor(0.8193, device='cuda:0')","tensor(0.8481, device='cuda:0')"
89,90,img1,img2,img1,img2,"tensor(0.8782, device='cuda:0')","tensor(0.2530, device='cuda:0')"
91,92,img1,img1,img1,img2,"tensor(0.6631, device='cuda:0')","tensor(0.6990, device='cuda:0')"
93,94,img1,img1,img1,img2,"tensor(0.9470, device='cuda:0')","tensor(0.8953, device='cuda:0')"
95,96,img2,img2,img1,img2,"tensor(0.4288, device='cuda:0')","tensor(0.0708, device='cuda:0')"
97,98,img1,img1,img1,img2,"tensor(0.9644, device='cuda:0')","tensor(0.7788, device='cuda:0')"
99,100,img2,img2,img1,img2,"tensor(0.3386, device='cuda:0')","tensor(0.0087, device='cuda:0')"
101,102,img1,img1,img1,img2,"tensor(0.9907, device='cuda:0')","tensor(0.9740, device='cuda:0')"
103,104,img1,img2,img1,img2,"tensor(0.9976, device='cuda:0')","tensor(0.1629, device='cuda:0')"
105,106,img1,img1,img1,img2,"tensor(0.9751, device='cuda:0')","tensor(0.9895, device='cuda:0')"
107,108,img1,img1,img1,img2,"tensor(0.6400, device='cuda:0')","tensor(0.6798, device='cuda:0')"
109,110,img1,img1,img1,img2,"tensor(0.9920, device='cuda:0')","tensor(0.9940, device='cuda:0')"
111,112,img1,img1,img1,img2,"tensor(0.9999, device='cuda:0')","tensor(0.9988, device='cuda:0')"
113,114,img2,img2,img1,img2,"tensor(0.1000, device='cuda:0')","tensor(0.0438, device='cuda:0')"
115,116,img1,img1,img1,img2,"tensor(0.9061, device='cuda:0')","tensor(0.5916, device='cuda:0')"
117,118,img1,img1,img1,img2,"tensor(0.5232, device='cuda:0')","tensor(0.7251, device='cuda:0')"
119,120,img1,img1,img1,img2,"tensor(0.7992, device='cuda:0')","tensor(0.8357, device='cuda:0')"
121,122,img2,img2,img1,img2,"tensor(0.1968, device='cuda:0')","tensor(0.0450, device='cuda:0')"
123,124,img2,img2,img1,img2,"tensor(0.2740, device='cuda:0')","tensor(0.4416, device='cuda:0')"
125,126,img2,img2,img1,img2,"tensor(0.3405, device='cuda:0')","tensor(0.2915, device='cuda:0')"
127,128,img2,img2,img1,img2,"tensor(0.3558, device='cuda:0')","tensor(0.3316, device='cuda:0')"
129,130,img1,img2,img1,img2,"tensor(0.6383, device='cuda:0')","tensor(0.0530, device='cuda:0')"
131,132,img2,img2,img1,img2,"tensor(0.0049, device='cuda:0')","tensor(0.0017, device='cuda:0')"
133,134,img1,img1,img1,img2,"tensor(0.7109, device='cuda:0')","tensor(0.6929, device='cuda:0')"
135,136,img2,img2,img1,img2,"tensor(0.1506, device='cuda:0')","tensor(0.0965, device='cuda:0')"
137,138,img1,img1,img1,img2,"tensor(0.9846, device='cuda:0')","tensor(0.9823, device='cuda:0')"
139,140,img2,img2,img1,img2,"tensor(0.2234, device='cuda:0')","tensor(0.2610, device='cuda:0')"
141,142,img1,img1,img1,img2,"tensor(0.8615, device='cuda:0')","tensor(0.8876, device='cuda:0')"
143,144,img2,img2,img1,img2,"tensor(0.1602, device='cuda:0')","tensor(0.1277, device='cuda:0')"
145,146,img1,img1,img1,img2,"tensor(0.7499, device='cuda:0')","tensor(0.7398, device='cuda:0')"
147,148,img1,img2,img1,img2,"tensor(0.8639, device='cuda:0')","tensor(0.3492, device='cuda:0')"
149,150,img1,img1,img1,img2,"tensor(0.9213, device='cuda:0')","tensor(0.9386, device='cuda:0')"
151,152,img1,img2,img1,img2,"tensor(0.9919, device='cuda:0')","tensor(0.2843, device='cuda:0')"
153,154,img1,img2,img1,img2,"tensor(0.9852, device='cuda:0')","tensor(0.0174, device='cuda:0')"
155,156,img1,img2,img1,img2,"tensor(0.8236, device='cuda:0')","tensor(0.0003, device='cuda:0')"
157,158,img1,img2,img1,img2,"tensor(0.9606, device='cuda:0')","tensor(0.0118, device='cuda:0')"
159,160,img1,img1,img1,img2,"tensor(0.9267, device='cuda:0')","tensor(0.8156, device='cuda:0')"
161,162,img1,img1,img1,img2,"tensor(0.9825, device='cuda:0')","tensor(0.7831, device='cuda:0')"
163,164,img1,img2,img1,img2,"tensor(0.9776, device='cuda:0')","tensor(0.3256, device='cuda:0')"
165,166,img1,img2,img1,img2,"tensor(0.9566, device='cuda:0')","tensor(0.0005, device='cuda:0')"
167,168,img1,img2,img1,img2,"tensor(0.9906, device='cuda:0')","tensor(0.0825, device='cuda:0')"
169,170,img1,img1,img1,img2,"tensor(0.9914, device='cuda:0')","tensor(0.9954, device='cuda:0')"
171,172,img1,img1,img1,img2,"tensor(0.7836, device='cuda:0')","tensor(0.7328, device='cuda:0')"
173,174,img1,img2,img1,img2,"tensor(0.6186, device='cuda:0')","tensor(0.0164, device='cuda:0')"
175,176,img2,img2,img1,img2,"tensor(0.2305, device='cuda:0')","tensor(0.4147, device='cuda:0')"
177,178,img1,img2,img1,img2,"tensor(0.6587, device='cuda:0')","tensor(0.0979, device='cuda:0')"
179,180,img1,img2,img1,img2,"tensor(0.9136, device='cuda:0')","tensor(0.0006, device='cuda:0')"
181,182,img1,img1,img1,img2,"tensor(0.9999, device='cuda:0')","tensor(0.9897, device='cuda:0')"
183,184,img2,img2,img1,img2,"tensor(0.1384, device='cuda:0')","tensor(0.0169, device='cuda:0')"
185,186,img1,img2,img1,img2,"tensor(0.8723, device='cuda:0')","tensor(0.1324, device='cuda:0')"
187,188,img1,img2,img1,img2,"tensor(0.7568, device='cuda:0')","tensor(0.2294, device='cuda:0')"
189,190,img1,img2,img1,img2,"tensor(0.8190, device='cuda:0')","tensor(0.2019, device='cuda:0')"
191,192,img2,img2,img1,img2,"tensor(0.1050, device='cuda:0')","tensor(0.0575, device='cuda:0')"
193,194,img2,img2,img1,img2,"tensor(0.4541, device='cuda:0')","tensor(0.0671, device='cuda:0')"
195,196,img2,img2,img1,img2,"tensor(0.1646, device='cuda:0')","tensor(0.0958, device='cuda:0')"
197,198,img1,img2,img1,img2,"tensor(0.9785, device='cuda:0')","tensor(0.0513, device='cuda:0')"
199,200,img1,img1,img1,img2,"tensor(0.9280, device='cuda:0')","tensor(0.6747, device='cuda:0')"
201,202,img1,img1,img1,img2,"tensor(0.8029, device='cuda:0')","tensor(0.5690, device='cuda:0')"
203,204,img1,img2,img1,img2,"tensor(0.7230, device='cuda:0')","tensor(0.4507, device='cuda:0')"
205,206,img1,img1,img1,img2,"tensor(0.9799, device='cuda:0')","tensor(0.9214, device='cuda:0')"
207,208,img1,img1,img1,img2,"tensor(0.8851, device='cuda:0')","tensor(0.8030, device='cuda:0')"
209,210,img1,img2,img1,img2,"tensor(0.5481, device='cuda:0')","tensor(0.0148, device='cuda:0')"
211,212,img2,img2,img1,img2,"tensor(0.0235, device='cuda:0')","tensor(0.0257, device='cuda:0')"
213,214,img1,img1,img1,img2,"tensor(0.8197, device='cuda:0')","tensor(0.6039, device='cuda:0')"
215,216,img2,img1,img1,img2,"tensor(0.2581, device='cuda:0')","tensor(0.6612, device='cuda:0')"
217,218,img1,img2,img1,img2,"tensor(0.6759, device='cuda:0')","tensor(0.1798, device='cuda:0')"
219,220,img1,img1,img1,img2,"tensor(0.7054, device='cuda:0')","tensor(0.5869, device='cuda:0')"
221,222,img1,img2,img1,img2,"tensor(0.7892, device='cuda:0')","tensor(0.4644, device='cuda:0')"
223,224,img2,img2,img1,img2,"tensor(0.3214, device='cuda:0')","tensor(0.4477, device='cuda:0')"
225,226,img1,img1,img1,img2,"tensor(0.9906, device='cuda:0')","tensor(0.9278, device='cuda:0')"
227,228,img1,img2,img1,img2,"tensor(0.7435, device='cuda:0')","tensor(0.3501, device='cuda:0')"
229,230,img1,img1,img1,img2,"tensor(0.8431, device='cuda:0')","tensor(0.6869, device='cuda:0')"
231,232,img1,img1,img1,img2,"tensor(0.9721, device='cuda:0')","tensor(0.9637, device='cuda:0')"
233,234,img2,img2,img1,img2,"tensor(0.3140, device='cuda:0')","tensor(0.1898, device='cuda:0')"
235,236,img1,img1,img1,img2,"tensor(0.7643, device='cuda:0')","tensor(0.8287, device='cuda:0')"
237,238,img2,img2,img1,img2,"tensor(0.4476, device='cuda:0')","tensor(0.0503, device='cuda:0')"
239,240,img1,img1,img1,img2,"tensor(0.9913, device='cuda:0')","tensor(0.9639, device='cuda:0')"
241,242,img1,img2,img1,img2,"tensor(0.9835, device='cuda:0')","tensor(0.4378, device='cuda:0')"
243,244,img2,img2,img1,img2,"tensor(0.2898, device='cuda:0')","tensor(0.1741, device='cuda:0')"
245,246,img1,img1,img1,img2,"tensor(0.7013, device='cuda:0')","tensor(0.8401, device='cuda:0')"
247,248,img1,img1,img1,img2,"tensor(0.9532, device='cuda:0')","tensor(0.8675, device='cuda:0')"
249,250,img2,img2,img1,img2,"tensor(0.3385, device='cuda:0')","tensor(0.1692, device='cuda:0')"
251,252,img1,img2,img1,img2,"tensor(0.9188, device='cuda:0')","tensor(0.0291, device='cuda:0')"
253,254,img1,img2,img1,img2,"tensor(0.9212, device='cuda:0')","tensor(0.1738, device='cuda:0')"
255,256,img1,img2,img1,img2,"tensor(0.6053, device='cuda:0')","tensor(0.4238, device='cuda:0')"
257,258,img1,img1,img1,img2,"tensor(0.9727, device='cuda:0')","tensor(0.5465, device='cuda:0')"
259,260,img1,img2,img1,img2,"tensor(0.8316, device='cuda:0')","tensor(0.2363, device='cuda:0')"
261,262,img1,img1,img1,img2,"tensor(0.7700, device='cuda:0')","tensor(0.5268, device='cuda:0')"
263,264,img2,img2,img1,img2,"tensor(0.4016, device='cuda:0')","tensor(0.0913, device='cuda:0')"
265,266,img1,img1,img1,img2,"tensor(0.9993, device='cuda:0')","tensor(0.7442, device='cuda:0')"
267,268,img2,img2,img1,img2,"tensor(0.0229, device='cuda:0')","tensor(0.0301, device='cuda:0')"
269,270,img1,img1,img1,img2,"tensor(0.9948, device='cuda:0')","tensor(0.9475, device='cuda:0')"
